,q_quali,keywords,description_length,description_length_wo_stopwords,comment,pictures,submitted_year,q_name,q_directory,author,repo
0,B,3,17,12,less than 5 keywords,1,2019,VIXDeepLearning,VIX/VIXDeepLearning,Daniel Kucharczyk,VIX
1,A,5,43,29,,1,2019,VIXfutures,VIX/VIXFutures,Joerg Osterrieder,VIX
