,author,comment,description_length,description_length_wo_stopwords,keywords,pictures,q_directory,q_name,q_quali,repo,submitted_year
0,Daniel Kucharczyk,less than 5 keywords,17,12,3,1,VIX/VIXDeepLearning,VIXDeepLearning,B,VIX,2019
1,Joerg Osterrieder,,43,29,5,1,VIX/VIXFutures,VIXfutures,A,VIX,2019
